,0
0,100.0
1,100.0
2,90.9090909090909
3,92.3076923076923
4,100.0
5,100.0
6,97.72727272727273
7,100.0
8,100.0
9,95.65217391304348
10,96.66666666666667
11,96.42857142857143
12,100.0
13,100.0
14,100.0
15,100.0
16,95.65217391304348
17,100.0
18,95.83333333333334
19,100.0
20,100.0
21,100.0
22,100.0
23,84.61538461538461
24,84.61538461538461
25,100.0
26,100.0
27,96.96969696969697
28,63.63636363636363
29,100.0
30,100.0
31,89.65517241379311
32,89.65517241379311
33,100.0
34,100.0
35,100.0
36,100.0
37,100.0
38,97.05882352941177
39,100.0
40,100.0
41,100.0
42,0.0
43,82.35294117647058
44,100.0
45,100.0
46,100.0
47,100.0
48,100.0
49,77.27272727272727
50,93.10344827586206
51,93.33333333333333
52,93.54838709677419
53,65.51724137931035
54,65.51724137931035
55,94.73684210526315
56,87.5
57,75.0
58,75.0
59,97.05882352941177
60,97.14285714285714
61,97.05882352941177
62,89.28571428571429
63,88.88888888888889
64,85.18518518518519
65,100.0
66,95.83333333333334
67,85.71428571428571
68,85.71428571428571
69,100.0
70,100.0
71,100.0
72,100.0
73,100.0
74,100.0
75,92.3076923076923
76,100.0
77,100.0
78,100.0
79,94.44444444444444
80,94.11764705882352
81,100.0
82,0.0
83,100.0
84,90.625
85,93.33333333333333
86,94.11764705882352
87,75.0
88,85.71428571428571
89,96.55172413793103
90,93.33333333333333
91,85.18518518518519
92,100.0
93,0.0
94,96.55172413793103
95,100.0
96,96.55172413793103
97,96.42857142857143
98,76.66666666666667
99,75.0
100,100.0
101,100.0
102,96.55172413793103
103,92.85714285714286
104,87.5
105,87.5
106,90.9090909090909
107,68.42105263157895
108,57.89473684210527
109,100.0
110,100.0
111,73.80952380952381
112,0.0
113,96.875
114,87.5
115,94.5945945945946
116,85.71428571428571
117,97.22222222222221
118,100.0
119,100.0
120,100.0
121,42.857142857142854
122,96.96969696969697
123,96.7741935483871
124,0.0
125,96.875
126,96.7741935483871
127,93.54838709677419
128,100.0
129,100.0
130,100.0
131,89.47368421052632
132,89.47368421052632
133,85.0
134,92.3076923076923
135,92.5925925925926
136,100.0
137,96.55172413793103
138,100.0
139,100.0
140,88.88888888888889
141,88.88888888888889
142,89.47368421052632
